gene;locus_tag;product
NA;NWMN_0532;glucosamine-6-phosphate isomerase
NA;NWMN_0533;conserved hypothetical protein
NA;NWMN_0534;conserved hypothetical protein
NA;NWMN_0535;conserved hypothetical protein
NA;NWMN_0536;conserved hypothetical protein
NA;NWMN_0537;conserved hypothetical protein
vraA;NWMN_0538;long chain fatty acid CoA ligase vraA
vraB;NWMN_0539;acetyl-CoA C-acetyltransferase VraB
vraC;NWMN_0540;conserved hypothetical protein
NA;NWMN_0541;conserved hypothetical protein
NA;NWMN_0542;conserved hypothetical protein
thiD;NWMN_0543;phosphomethylpyrimidine kinase
ung;NWMN_0544;uracil-DNA glycosylase
NA;NWMN_0545;conserved hypothetical protein
NA;NWMN_0546;conserved hypothetical protein
NA;NWMN_0547;conserved hypothetical protein
NA;NWMN_0548;conserved hypothetical protein
NA;NWMN_0549;conserved hypothetical protein
NA;NWMN_0550;conserved hypothetical protein
pta;NWMN_0551;phosphate acetyltransferase
NA;NWMN_0552;lipoate-protein ligase A protein
mvaK1;NWMN_0553;mevalonate kinase
mvaD;NWMN_0554;mevalonate diphosphate decarboxylase
mvaK2;NWMN_0555;phosphomevalonate kinase
NA;NWMN_0556;conserved hypothetical protein
NA;NWMN_0557;pyridine nucleotide-disulfide oxidoreductase
NA;NWMN_0558;conserved hypothetical protein
NA;NWMN_0559;conserved hypothetical protein
NA;NWMN_0560;conserved hypothetical protein
NA;NWMN_0561;conserved hypothetical protein
